run_id,run_type,cell_id,persona_id,condition,raw_line_number,raw_record_sha256,request_sha256,prompt_sha256,system_prompt_sha256,response_id,api_status,attempt_count,outcome_status,parse_success,parse_error,unstake_percentage,any_unstake,reason
main_20260904T160520Z_d93b455f,main,P01_S,P01,S,1,6cf1943341ba46caf0cc64fc139df7f004caaca5efcd8921a850ade293877d42,a75630c8ffebab2394d491631fbc5dc77d7790621dc36fb074590b7f3187d2b4,a93fd659d063f3af7b08bc7c6083cdc19f36e8410f7b1ccc8eb06c60b5aeb61e,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,20260905000523c66edc1fd3f44bd6,success,1,valid,True,,25,1,I am initiating a partial unstake to reduce exposure to the uncertainty surrounding the protocol's revenue and reputation while waiting for an official response.
main_20260904T160520Z_d93b455f,main,P01_C0,P01,C0,2,9f70ab84b80701838816bdb7d4b24c9f3c6930b7725795301be9df51659d86f2,c98175f7c2c1498489d1ed137d933b0aee70f1ad688b3adac3360d752c531048,0c2bb58173a834d771708c3dfbb497cc75d9d93693be3ead37ad3e22453d4467,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,2026090500052680d97e1b55414ab1,success,1,valid,True,,25,1,I am initiating a partial unstake to reduce exposure to potential downside risk while waiting for the protocol's promised update.
main_20260904T160520Z_d93b455f,main,P01_T1,P01,T1,3,701fd4f30b6ca73ab08b391497d5cc46ad24daa353579455a087be5c28f0f826,85de3cfd8f51a47588891817085246957d935be680f4919096302150d755041f,3c704302167c70d3d60f4f1d2d43e3fbf0f18730270005187277e04bed724ba3,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,20260905000527dd7576e3376b412d,success,1,valid,True,,25,1,I am initiating a partial unstake to reduce exposure to potential downside risk while waiting for the investigation results.
main_20260904T160520Z_d93b455f,main,P01_T2,P01,T2,4,4fdc15a840668a93f9f92b7f3002f3b954fcaeed922a3cde816ecb43034196a0,d8707e3854283a3132d66ec00506e60dc2feb8954872fd1e61c33d2aad24b356,d3fe01a5e3b63e20947e7a39bbdbc90f86a8550bece069f360134e14baabd325,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,2026090500052839ca5b756d55424f,success,1,valid,True,,25,1,I am initiating a partial unstake to reduce exposure to potential price volatility while the protocol's long-term impact is assessed.
main_20260904T160520Z_d93b455f,main,P01_T3,P01,T3,5,063b289c50770030fb64d7e6d1ac37ec67cf36c286f4e1740dc926086a6f75fe,b8430186b4fffb26a6534a6f085a5b753cb49dbed265b217e70deb233c1b8ad8,5ad7b7c4cd2ad588c8699c9aa114556854735fb09a4982d7bb993cbd8c0e4f18,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,202609050005311a0af47bb7514f19,success,1,valid,True,,0,0,The staking contract is secure and the core team's immediate response and commitment to a security reserve mitigate the immediate risk.
main_20260904T160520Z_d93b455f,main,P02_S,P02,S,6,b46bb95676990c03405515f090911714da3dc9ea44145a159e8fd56be57378e0,2f0b6ded738b816d31197f1f004d78b181c6788efcc802a738cb23228df1de85,e2476d86202358ffdcc27701bf94add4631a090af86f6e456d2256e757fa6c6b,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,20260905000532089e564e75ab4038,success,1,valid,True,,25,1,I am partially unstaking to reduce risk exposure due to the uncertainty of the incident and the lack of an official response.
main_20260904T160520Z_d93b455f,main,P02_C0,P02,C0,7,5f82cf97415bb3202bb059ad2cb70bf27fd9999ba00c3e728a28adf1ee1908a4,5ffaea4f79dc25a664ec6ea14c9fe59029ba01b63e521e2101f7384c1d78ead1,448c0b281f622c29238cc720e4c77608c9048d93a52d358e75ec546f0db41cd8,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,20260905000534fc0d170c4e944493,success,1,valid,True,,25,1,"I am partially unstaking to reduce risk exposure given the significant exploit and uncertainty, while keeping the majority staked since the staking contract is safe and the price has not yet dropped."
main_20260904T160520Z_d93b455f,main,P02_T1,P02,T1,8,3a1a8720c4a3d9bb367023c6c279649d218d812ef664ce51dc1b97245e428c8f,ac189d8be1e3db687ad19844ab67e94cf9e3aa5eb781391047a4ffa3ebd74f31,132e0ce747b54c9cce18740d550dff49e652d7ddfa7ad232b6996a482fefd65d,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,20260905000537f6a20f2fc1ac460e,success,1,valid,True,,50,1,"I am partially unstaking to manage risk given the significant exploit and uncertainty, while maintaining exposure in case the protocol recovers."
main_20260904T160520Z_d93b455f,main,P02_T2,P02,T2,9,8ece46eb7eef8a58dba937fbc88cb4a3a9ec63004a6cc3b4de6b59186a1e899b,24b85445e8b04aece5310ed99d868566b753fd7331f4eccccb50c9341acb3850,dfc6381598e73cf360218d9fdf07f698f83276d2a9f9d40fee8845d8d9846c4e,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,20260905000541344f47ad9d004dcd,success,1,valid,True,,25,1,"I am partially unstaking to reduce risk exposure given the uncertainty regarding the long-term impact on protocol revenue and security, while maintaining a position in case the protocol recovers."
main_20260904T160520Z_d93b455f,main,P02_T3,P02,T3,10,df7367a308b1efd6e95c96581e702067dde1e1c6517f33fbb6067d85215cd1b3,51205e035b3d195a96115955c1d40bb4a2cc202923b91168e73536b00951ed3c,1dc9177a998e68b1b47bbf210dbcb3f85cc5ba9555d2cb904123cafb7f08e6a8,8ca11289c6e751c39d52959bc926a488ecd800522048dd88595cd58c3b3e16d8,20260905000544327db19425ba47e8,success,1,valid,True,,25,1,"I am partially unstaking to manage risk given the significant exploit and uncertainty, while maintaining exposure since the staking contract is secure and the team is responding."
